,New (Shinjitai),Radical,Strokes,Grade,English meaning,Readings
0,一,一,1,1,one,"イチ、イツ、ひと、ひと-つ
ichi, itsu, hito, hito-tsu"
1,右,口,5,1,right (direction),"ウ、ユウ、みぎ
u, yū, migi"
2,雨,雨,8,1,rain,"ウ、あめ、（あま）
u, ame, (ama)"
3,円,囗,4,1,"round, yen","エン、まる-い
en, maru-i"
4,王,玉,4,1,king,"オウ
ō"
5,音,音,9,1,sound,"オン、イン、おと、ね
on, in, oto, ne"
6,下,一,3,1,below,"カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる
ka, ge, shita, shimo, moto, sa-geru, sa-garu, kuda-ru, kuda-su, kuda-saru, o-rosu, o-riru"
7,火,火,4,1,fire,"カ、ひ、（ほ）
ka, hi, (ho)"
8,花,艸,7,1,flower,"カ、はな
ka, hana"
9,貝,貝,7,1,shellfish,"かい
kai"
10,学,子,8,1,study,"ガク、まな-ぶ
gaku, mana-bu"
11,気,气,6,1,feeling,"キ、ケ
ki, ke"
12,九,乙,2,1,nine,"キュウ、ク、ここの、ここの-つ
kyū, ku, kokono, kokono-tsu"
13,休,人,6,1,rest,"キュウ、やす-む、やす-まる、やす-める
kyū, yasu-mu, yasu-maru, yasu-meru"
14,玉,玉,5,1,ball,"ギョク、たま
gyoku, tama"
15,金,金,8,1,gold,"キン、コン、かね、（かな）
kin, kon, kane, (kana)"
16,空,穴,8,1,sky,"クウ、そら、あ-く、あ-ける、から
kū, sora, a-ku, a-keru, kara"
17,月,月,4,1,"month, moon","ゲツ、ガツ、つき
getsu, gatsu, tsuki"
18,犬,犬,4,1,dog,"ケン、いぬ
ken, inu"
19,見,見,7,1,see,"ケン、み-る、み-える、み-せる
ken, mi-ru, mi-eru, mi-seru"
20,五,二,4,1,five,"ゴ、いつ、いつ-つ
go, itsu, itsu-tsu"
21,口,口,3,1,mouth,"コウ、ク、くち
kō, ku, kuchi"
22,校,木,10,1,school,"コウ
kō"
23,左,工,5,1,left (direction),"サ、ひだり
sa, hidari"
24,三,一,3,1,three,"サン、み、み-つ、みっ-つ
san, mi, mi-tsu, mi'-tsu"
25,山,山,3,1,mountain,"サン、やま
san, yama"
26,子,子,3,1,child,"シ、ス、こ
shi, su, ko"
27,四,囗,5,1,four,"シ、よ、よ-つ、よっ-つ、よん
shi, yo, yo-tsu, yo'-tsu, yon"
28,糸,糸,6,1,thread,"シ、いと
shi, ito"
29,字,子,6,1,letter,"ジ、あざ
ji, aza"
30,耳,耳,6,1,ear,"ジ、みみ
ji, mimi"
31,七,一,2,1,seven,"シチ、なな、なな-つ、（なの）
shichi, nana, nana-tsu, (nano)"
32,車,車,7,1,car,"シャ、くるま
sha, kuruma"
33,手,手,4,1,hand,"シュ、て、（た）
shu, te, (ta)"
34,十,十,2,1,ten,"ジュウ、ジッ、とお、と
jū, ji', too, to"
35,出,凵,5,1,exit,"シュツ、（スイ）、で-る、だ-す
shutsu, (sui), de-ru, da-su"
36,女,女,3,1,woman,"ジョ、ニョ、（ニョウ）、おんな、め
jo, nyo, (nyō), onna, me"
37,小,小,3,1,small,"ショウ、ちい-さい、こ、お
shō, chii-sai, ko, o"
38,上,一,3,1,up,"ジョウ、（ショウ）、うえ、（うわ）、かみ、あ-げる、あ-がる、のぼ-る、のぼ-せる、のぼ-す
jō, (shō), ue, (uwa), kami, a-geru, a-garu, nobo-ru, nobo-seru, nobo-su"
39,森,木,12,1,forest,"シン、もり
shin, mori"
40,人,人,2,1,person,"ジン、ニン、ひと
jin, nin, hito"
41,水,水,4,1,water,"スイ、みず
sui, mizu"
42,正,止,5,1,correct,"セイ、ショウ、ただ-しい、ただ-す、まさ
sei, shō, tada-shii, tada-su, masa"
43,生,生,5,1,life,"セイ、ショウ、い-きる、い-かす、い-ける、う-まれる、う-む、お-う、は-える、は-やす、き、なま
sei, shō, i-kiru, i-kasu, i-keru, u-mareru, u-mu, o-u, ha-eru, ha-yasu, ki, nama"
44,青,靑,8,1,blue,"セイ、（ショウ）、あお、あお-い
sei, (shō), ao, ao-i"
45,夕,夕,3,1,evening,"セキ、ゆう
seki, yū"
46,石,石,5,1,stone,"セキ、（シャク）、（コク）、いし
seki, (shaku), (koku), ishi"
47,赤,赤,7,1,red,"セキ、（シャク）、あか、あか-い、あか-らむ、あか-らめる
seki, (shaku), aka, aka-i, aka-ramu, aka-rameru"
48,千,十,3,1,thousand,"セン、ち
sen, chi"
49,川,巛,3,1,river,"セン、かわ
sen, kawa"
50,先,儿,6,1,previous,"セン、さき
sen, saki"
51,早,日,6,1,early,"ソウ、（サッ）、はや-い、はや-まる、はや-める
sō, (sa'), haya-i, haya-maru, haya-meru"
52,草,艸,9,1,grass,"ソウ、くさ
sō, kusa"
53,足,足,7,1,foot,"ソク、あし、た-りる、た-る、た-す
soku, ashi, ta-riru, ta-ru, ta-su"
54,村,木,7,1,village,"ソン、むら
son, mura"
55,大,大,3,1,large,"ダイ、タイ、おお、おお-きい、おお-いに
dai, tai, oo, oo-kii, oo-ini"
56,男,田,7,1,male,"ダン、ナン、おとこ
dan, nan, otoko"
57,竹,竹,6,1,bamboo,"チク、たけ
chiku, take"
58,中,丨,4,1,middle,"チュウ、（ジュウ）、なか
chū, (jū), naka"
59,虫,虫,6,1,insect,"チュウ、むし
chū, mushi"
60,町,田,7,1,town,"チョウ、まち
chō, machi"
61,天,大,4,1,heaven,"テン、あめ、（あま）
ten, ame, (ama)"
62,田,田,5,1,rice paddy,"デン、た
den, ta"
63,土,土,3,1,soil,"ド、ト、つち
do, to, tsuchi"
64,二,二,2,1,two,"ニ、ふた、ふた-つ
ni, futa, futa-tsu"
65,日,日,4,1,day,"ニチ、ジツ、ひ、か
nichi, jitsu, hi, ka"
