,Word,Reading,Meaning
0,日,ひ,"day, days; sun, sunshine, sunlight; case (esp. unfortunate), event"
1,同日,どうじつ,the same day
2,日米,にちべい,Japan-America
3,日本人,"にほんじん, にっぽんじん","Japanese person, Japanese people"
4,毎日,まいにち,every day
5,前日,"ぜんじつ, まえび","previous day, the day before"
6,全日,ぜんじつ,all days
7,日程,にってい,"schedule, program, programme, agenda"
8,日本語,"にほんご, にっぽんご",Japanese (language)
9,今日,"こんにち, きょう, こんち, こんじつ","today, this day"
10,一つ,ひとつ,"one; for one thing (often used in itemized lists); (after a noun) only; (with a verb in negative form) (not) even; just (i.e. ""just try it"")"
11,一月,いちがつ,January
12,一般,いっぱん,"general, liberal, universal, ordinary, average"
13,一番,いちばん,"best, first, number one; game, round, bout, fall, event (in a meet)"
14,一部,いちぶ,"one part, one portion, one section, some; one copy (e.g. of a document)"
15,一方,いっぽう,"one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party; on the one hand, on the other hand; whereas, although, but at the same time, meanwhile, in turn; (after noun, adjective-stem or plain verb) just keeps, being inclined to ..., tending to be ..., tending to do ..., ntinuously ..., just keeps on ...ing, only"
16,十一,"じゅういち, ジュウイチ","11, eleven; Hodgson's hawk-cuckoo (Cuculus fugax)"
17,十一月,じゅういちがつ,November
18,統一,とういつ,"unity, consolidation, uniformity, unification, compatible"
19,一時,"いちじ, いっとき","one hour, short time, once, a time, temporarily, at one time, twelfth part of a day"
20,外国人,がいこくじん,foreigner
21,個人,こじん,"individual, private person, personal, private"
22,三人,"さんにん, みたり",three people
23,人間,にんげん,"human being, man, person; character (of a person)"
24,人気,にんき,"popular, popular feeling, business conditions"
25,人口,じんこう,population; common talk
27,人々,"ひとびと, にんにん","each person, people, men, human, everybody"
28,二人,"ふたり, ににん","two persons, two people, pair, couple"
29,証人,しょうにん,witness
30,年,とし,year; age
31,昨年,さくねん,last year
32,前年,ぜんねん,"the preceding year, the previous year, last year"
33,年間,ねんかん,year (period of)
34,来年,らいねん,next year
35,今年,"ことし, こんねん",this year
36,周年,しゅうねん,"whole year, anniversary"
37,少年,しょうねん,"boys, juveniles"
38,年金,ねんきん,"annuity, pension"
39,年生,ねんせい,"pupil in ... year, student in ... year"
40,大きな,おおきな,"big, large, great"
41,拡大,かくだい,"magnification, enlargement, expansion"
42,最大,さいだい,"greatest, largest, maximum"
43,大いに,おおいに,"very, much, greatly, a lot of"
44,大会,たいかい,"convention, tournament, mass meeting, rally"
45,大学,だいがく,"post-secondary education institution, incl. university, college, etc.; the Great Learning - one of the Four Books"
46,大手,"おおて, おおで","front castle gate; both arms open, outstretched arms; major companies"
47,大蔵省,おおくらしょう,(former) Ministry of Finance (succeeded by zaimushou in 2000)
48,大統領,だいとうりょう,"president, chief executive"
49,大幅,おおはば,"full width, large scale, drastic"
50,十,"じゅう, と, とお","10, ten"
53,十九,じゅうきゅう,"19, nineteen"
54,十月,じゅうがつ,October
55,十五,じゅうご,"15, fifteen"
56,十三,じゅうさん,"13, thirteen"
57,十二,じゅうに,"12, twelve"
58,十二月,じゅうにがつ,December
59,十八,じゅうはち,"18, eighteen"
60,二,"に, ふた, ふ, ふう",two
61,二つ,ふたつ,two
64,二月,にがつ,February
66,二百,にひゃく,"two hundred, 200"
67,二死,にし,"two out (e.g. in baseball), two down (and one to go)"
68,二塁,にるい,second base
69,二塁打,にるいだ,"two-base hit, double"
70,基本,きほん,"foundation, basis, standard"
72,本社,"ほんしゃ, ほんじゃ","head office, main office, headquarters; main shrine; this company, this shrine"
73,本部,ほんぶ,headquarters
74,本の,ほんの,"mere, only, just"
76,本会議,ほんかいぎ,"plenary session, regular session"
77,本人,ほんにん,the person himself
78,本当,"ほんとう, ほんと","truth, reality"
79,本塁打,ほんるいだ,home run (baseball)
80,中央,ちゅうおう,"centre, central, center, middle"
81,中国,ちゅうごく,"China; South-west most region of Honshu, middle of a country, the Hiroshima area"
82,中心,ちゅうしん,"center, centre, middle, heart, core, focus, pivot, emphasis, balance"
83,中でも,なかでも,"among (other things), inter alia; above all (else)"
84,中間,ちゅうかん,"middle, midway, interim"
85,中東,ちゅうとう,Middle East
86,途中,とちゅう,"on the way, en route; in the middle of, midway"
87,集中,しゅうちゅう,"concentration, convergence, centralization, integration, gathering together"
88,中学,ちゅうがく,"middle school, junior high school"
89,中学生,ちゅうがくせい,"junior high school student, middle school pupil"
90,出す,だす,"to take out, to get out; to put out, to reveal, to show; to submit (e.g. thesis), to turn in; to publish, to make public; to send (e.g. letter); to produce (a sound), to start (fire); to serve (food); to begin"
91,出身,しゅっしん,"person's origin (town, city, country, etc.); institution from which one graduated; director in charge of employee relations"
92,輸出,"ゆしゅつ, しゅしゅつ",export; efferent (medical)
93,出場,しゅつじょう,"(stage) appearance, participation, performance"
94,進出,しんしゅつ,"advance, step forward"
95,出,で,"coming out, going out, outflow, efflux, rising (of the sun or moon); attending (work), appearing (on stage), one's turn to go on; start, beginning; origins, background, person (or item) originating from ..., graduate of ..., native of ..., member of ... (lineage); architectural member that projects outward; highest point of the stern of a ship; amount (comprising something), amount of time or effort required to do something"
96,演出,えんしゅつ,"production (e.g. play), direction"
97,出演,しゅつえん,"performance, stage appearance; to act (in a play)"
98,出席,しゅっせき,"attendance, presence, appearance; to attend, to be present, to appear"
99,出馬,しゅつば,going on horseback; going in person; running for election
100,三,"さん, み",three
101,三つ,みっつ,three
102,三月,さんがつ,March
105,三十,"さんじゅう, みそ",thirty
106,三千,さんぜん,3000; many
107,三百,さんびゃく,"300, three hundred; 300 mon, trifling amount, two-bit item; shyster"
108,三十日,"みそか, つごもり, みそ",last day of month
109,三塁,さんるい,third base
110,意見,いけん,"opinion, view"
111,会見,かいけん,"interview, audience"
112,見直し,みなおし,"review, reconsideration, revision"
113,見方,みかた,viewpoint
114,見通し,みとおし,"perspective, unobstructed view, outlook, forecast, prospect, insight, foresight, visibility"
115,見解,けんかい,"opinion, point of view"
116,見込み,みこみ,"forecast, prospects, expectation, hope"
117,発見,はっけん,"discovery, detection, finding"
118,見事,みごと,"splendid, magnificent, beautiful, admirable; praiseworthy act, feat, commendable deed"
119,見つかる,みつかる,"to be found, to be discovered"
121,九月,くがつ,September
122,五月,ごがつ,May
123,今月,こんげつ,this month
125,四月,しがつ,April
126,七月,しちがつ,July
130,生きる,いきる,"to live, to exist"
131,学生,がくせい,student (esp. a university student)
132,生活,せいかつ,"living, life (one's daily existence), livelihood"
133,生産,せいさん,"production, manufacture"
134,厚生省,こうせいしょう,"Ministry of Health and Welfare (now Ministry of Health, Labour and Welfare)"
135,新生,しんせい,"rebirth, new birth, nascent"
